Offset Credits Cost Adjustment,Emission Reduction Cost Adjustment,Reforestation Cost Adjustment,T15Year,T15CO2,T15ForestSize,T20Year,T20CO2,T20ForestSize,ForestSize2050,CO2Concentration2050,Temperature2050,ForestSize2100,CO2Concentration2100,Temperature2100
1.0,0.85,0.7,2031.0,443.01758,41744163.74438,2049.0,483.0099,45232973.39883,45649995.19672,485.78899,2.03317,65238827.83869,464.04371,1.76986
1.0,0.8,0.35,2031.0,443.0178,42585585.53082,2050.0,483.01407,47909781.90996,48245857.54719,484.58592,2.01879,74932217.67738,455.12682,1.65807
1.0,0.7,0.7,2031.0,443.01652,41181577.32683,2049.0,483.01104,43346729.20967,43552542.44393,485.30059,2.02734,55784254.0962,454.98451,1.65631
1.0,0.05,0.35,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.9,0.85,2031.0,443.0171,41594492.38793,2049.0,483.00874,44714152.57129,45181929.13294,486.27145,2.03893,64353298.54029,468.64772,1.82678
1.0,0.15,0.8,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.4,0.5,2031.0,443.017,39806253.80441,2049.0,483.01094,38909561.63365,38832841.58993,485.65165,2.03153,36643798.35232,457.0534,1.68235
1.0,0.45,0.45,2031.0,443.01648,39986169.81784,2049.0,483.01158,39498787.1774,39464840.03771,485.36483,2.02811,38849193.63792,454.17297,1.64593
1.0,0.75,0.2,2031.0,443.01465,42992457.68428,2048.0,483.00308,48655265.08704,49809043.17508,488.37936,2.06401,80272143.86482,461.53849,1.73908
1.0,0.55,0.4,2031.0,443.01668,41180184.02066,2050.0,483.01438,43472148.00412,43612572.89245,484.44132,2.01707,54944214.43655,441.45729,1.48255
1.0,0.7,0.65,2031.0,443.01574,41443445.50963,2049.0,483.0136,44147051.53411,44359658.8126,484.86641,2.02215,58633863.17971,452.53252,1.62515
1.0,0.8,0.7,2031.0,443.01621,41666635.90099,2049.0,483.01109,44875575.26407,45170044.32463,485.28,2.02709,62267720.62988,459.45573,1.71258
1.0,0.35,0.9,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.65141,2.03153,36643798.35232,457.05035,1.68231
1.0,0.4,0.2,2031.0,443.01738,41139319.09247,2050.0,483.01475,43422392.03068,43542372.57577,484.24392,2.01471,54043273.90777,440.44011,1.46922
1.0,0.75,0.5,2031.0,443.01636,41941859.47177,2049.0,483.01258,45859139.20077,46130401.32354,484.71737,2.02037,66994400.86519,453.73001,1.64033
1.0,0.55,0.3,2031.0,443.01743,41567546.41542,2050.0,483.01436,44741128.45723,44878019.9361,484.04414,2.01231,61162359.55354,441.11572,1.47805
1.0,0.75,0.75,2031.0,443.01576,41373713.45373,2049.0,483.01062,44064471.89159,44318139.36154,485.35968,2.02805,58981859.2727,458.14575,1.69616
